S&P Comp.,Dividend,Earnings,CPI,Long Interest Rate GS10,Real Price,Real Dividend,Real Total Return Price,Real Earnings,Real TR Scaled Earnings,CAPE,TR CAPE,Monthly Total Bond Returns,Real Total Bond Returns
4.82,0.2,0.23,6.85,3.55,221.11,8.95,840.46,10.44,39.67,18.2,22.89,1.0,5.69
4.59,0.19,0.24,6.85,3.58,210.56,8.79,805.87,11.12,42.58,17.34,21.81,1.0,5.71
4.32,0.19,0.25,6.76,3.59,200.96,8.84,771.96,11.63,44.67,16.55,20.82,1.0,5.8
4.27,0.19,0.25,6.66,3.6,201.48,8.93,776.79,11.64,44.88,16.58,20.86,1.0,5.9
4.45,0.19,0.24,6.57,3.58,213.01,9.01,824.16,11.65,45.06,17.52,22.04,1.0,6.01
4.38,0.19,0.24,6.57,3.57,209.66,8.98,814.09,11.49,44.61,17.23,21.69,1.0,6.04
4.42,0.19,0.24,6.47,3.55,214.69,9.07,836.54,11.5,44.8,17.64,22.2,1.0,6.15
4.40,0.19,0.23,6.37,3.53,216.91,9.16,848.16,11.5,44.97,17.83,22.43,1.0,6.27
4.32,0.19,0.23,6.28,3.52,216.19,9.26,848.37,11.51,45.17,17.78,22.37,1.0,6.39
4.04,0.18,0.23,6.28,3.5,202.18,9.22,796.4,11.34,44.69,16.64,20.93,1.0,6.42
3.81,0.18,0.22,6.28,3.48,190.67,9.17,754.07,11.17,44.2,15.7,19.76,1.0,6.45
4.01,0.18,0.22,6.28,3.47,200.67,9.13,796.66,11.01,43.71,16.54,20.82,1.0,6.48
4.01,0.18,0.22,6.28,3.47,200.67,9.13,796.66,11.01,43.71,16.54,20.82,1.0,6.48
4.38,0.18,0.21,6.66,3.43,206.67,8.53,826.31,10.06,40.24,17.09,21.51,1.0,6.16
4.22,0.18,0.21,6.66,3.42,199.12,8.49,798.96,9.91,39.76,16.5,20.77,1.0,6.19
4.22,0.18,0.22,6.47,3.4,204.97,8.74,825.38,10.6,42.7,17.03,21.43,1.0,6.4
4.18,0.18,0.23,6.47,3.4,203.03,8.74,820.49,11.01,44.5,16.89,21.26,1.0,6.42
4.19,0.18,0.24,6.47,3.39,203.52,8.74,825.39,11.41,46.29,16.96,21.33,1.0,6.44
4.06,0.18,0.24,6.37,3.39,200.14,8.87,814.72,11.99,48.82,16.7,21.0,1.0,6.55
4.08,0.18,0.25,6.28,3.38,204.18,9.01,834.2,12.6,51.46,17.05,21.44,1.0,6.67
4.27,0.18,0.26,6.28,3.38,213.69,9.01,876.11,13.01,53.35,17.85,22.43,1.0,6.69
4.46,0.18,0.27,6.28,3.38,223.19,9.01,918.17,13.43,55.23,18.65,23.42,1.0,6.72
4.75,0.18,0.28,6.57,3.37,227.37,8.62,938.31,13.25,54.66,19.01,23.84,1.0,6.44
4.98,0.18,0.29,6.76,3.37,231.67,8.37,958.91,13.26,54.88,19.37,24.27,1.0,6.28
4.98,0.18,0.29,6.76,3.37,231.67,8.37,958.91,13.26,54.88,19.37,24.27,1.0,6.28
4.65,0.18,0.3,6.66,3.36,219.41,8.49,913.93,14.24,59.3,18.36,22.94,1.0,6.41
4.75,0.18,0.31,6.66,3.35,224.12,8.49,936.53,14.63,61.12,18.75,23.4,1.0,6.43
4.88,0.18,0.31,6.66,3.35,230.26,8.57,965.15,14.78,61.96,19.25,23.99,1.0,6.45
4.87,0.18,0.32,6.76,3.33,226.55,8.53,952.58,14.73,61.95,18.92,23.55,1.0,6.39
4.65,0.19,0.32,6.76,3.31,216.32,8.61,912.56,14.89,62.8,18.04,22.44,1.0,6.42
4.57,0.19,0.32,6.76,3.29,212.59,8.69,899.92,15.04,63.66,17.71,22.0,1.0,6.45
4.87,0.19,0.33,7.23,3.27,211.64,8.18,898.79,14.2,60.29,17.6,21.84,1.0,6.05
5.06,0.19,0.33,6.76,3.25,235.39,8.84,590.2057466063349,15.35,65.4,19.54,24.23,1.0,6.51
5.08,0.19,0.33,6.66,3.23,239.69,9.05,590.2057466063349,15.73,67.2,19.86,24.6,1.0,6.63
5.27,0.19,0.34,6.66,3.2,248.66,9.12,590.2057466063349,15.89,68.1,20.54,25.42,1.0,6.66
5.26,0.2,0.34,6.66,3.18,248.19,9.2,590.2057466063349,16.04,68.98,20.44,25.26,1.0,6.69
5.26,0.2,0.34,6.66,3.18,248.19,9.2,590.2057466063349,16.04,68.98,20.44,25.26,1.0,6.69
5.32,0.2,0.35,6.66,3.14,251.02,9.36,590.2057466063349,16.36,70.78,20.53,25.32,1.0,6.75
5.65,0.2,0.35,6.76,3.12,262.83,9.3,590.2057466063349,16.28,70.66,21.4,26.37,1.0,6.68
6.08,0.2,0.36,6.76,3.1,282.84,9.34,590.2057466063349,16.78,73.04,22.93,28.22,1.0,6.71
6.31,0.2,0.37,6.95,3.1,285.5,9.13,590.2057466063349,16.82,73.38,23.05,28.33,1.0,6.54
6.40,0.2,0.38,6.95,3.11,289.57,9.16,590.2057466063349,17.31,75.71,23.28,28.57,1.0,6.56
6.48,0.2,0.39,7.04,3.11,289.23,9.07,590.2057466063349,17.55,76.99,23.15,28.37,1.0,6.48
6.21,0.2,0.4,7.04,3.12,277.17,9.11,590.2057466063349,18.04,79.34,22.09,27.03,1.0,6.5
6.07,0.21,0.42,7.14,3.12,267.31,9.03,590.2057466063349,18.28,80.6,21.21,25.92,1.0,6.42
6.28,0.21,0.43,7.23,3.13,272.92,8.94,590.2057466063349,18.5,81.84,21.56,26.31,1.0,6.35
6.44,0.21,0.44,7.33,3.13,276.24,8.87,590.2057466063349,18.73,83.06,21.73,26.47,1.0,6.29
6.37,0.21,0.45,7.61,3.13,262.99,8.57,590.2057466063349,18.48,82.15,20.59,25.04,1.0,6.06
